,,Murphy & McManus,,,,"Enniskillen, Northern Ireland",,"Managing Partner",
,,McNulty Fitzgerald Solicitors,,,,"Belfast, Northern Ireland",,"Partner",
,,Maguire Solicitors,,,,"Newry, Northern Ireland",,"Managing Partner",
,,Jarlath Fields Solicitors,,,,"Armagh, Northern Ireland",,"Managing Partner",
,,Fisher Law,,,,"Ballymena, Northern Ireland",,"Managing Partner",
,,E S Legal,,,,"Newry, Northern Ireland",,"Managing Partner",
,,Donnelly Neary & Donnelly,,,,"Newry, Northern Ireland",,"Partner",
,,Gilmore Solicitors,,,,"Belfast, Northern Ireland",,"Partner",
,,Glover & King,,,,"Carrickfergus, Northern Ireland",,"Partner",
,,McCourt & Maguire Solicitors,,,,"Dungannon, Northern Ireland",,"Partner",
,,PA Duffy Solicitors,,,,"Dungannon, Northern Ireland",,"Managing Partner",
,,S G Murphy & Co,,,,"Newtownabbey, Northern Ireland",,"Partner",
,,Twigg JB & RH,,,,"Cookstown, Northern Ireland",,"Partner",
,,Quigley MacManus,,,,"Strabane, Northern Ireland",,"Partner",
,,MacAllister McAleese Solicitors,,,,"Larne, Northern Ireland",,"Partner",
,,McEldowney Solicitors,,,,"Magherafelt, Northern Ireland",,"Managing Partner",
,,Scullion & Green Solicitors,,,,"Downpatrick, Northern Ireland",,"Partner",
,,McEvoy Sheridan Solicitors,,,,"Belfast, Northern Ireland",,"Partner",
,,James Ballentine & Son,,,,"Ballymena, Northern Ireland",,"Partner",
,,Anderson Gillan Barr,,,,"Coleraine, Northern Ireland",,"Partner",
,,Wilson Nesbitt Solicitors,,,,"Belfast, Northern Ireland",,"Partner",
,,Catherine Allison & Co Solicitors,,,,"Newry, Northern Ireland",,"Partner",
,,MJ McIvor Solicitors,,,,"Omagh, Northern Ireland",,"Managing Partner",
,,Logan & Corry,,,,"Omagh, Northern Ireland",,"Partner",
,,Herbert Smith LLP,,,,"Belfast, Northern Ireland",,"Partner",
,,John W Pinkerton & Son,,,,"Ballymoney, Northern Ireland",,"Partner",
,,T.S McAllister & Son,,,,"Ballymena, Northern Ireland",,"Partner",
,,Shoosmiths,,,,"Belfast, Northern Ireland",,"Partner",
,,Fox Law Ltd,,,,"Omagh, Northern Ireland",,"Managing Partner",
