name,category,phone,address,rating,reviews,website,score
Paul Mc Gowan Fitness Derry,gym,085 775 9877,"Unit 1 & 2, Springtown Industrial Estate, Springrowth Rd, Londonderry BT48 0LY, UK",5,14,NONE,10
CALM Yoga,yoga,07999 025918,"Ebrington St, Londonderry BT47 6EQ, UK",5,2,NONE,10
Yoga & Pilates wellbeing Centre,yoga,07738 067290,"Northland Road Industrial Estate, 28-29 Templemore Business Park, Londonderry BT48 0LD, UK",5,17,NONE,10
Dragonfly Studio,yoga,07597 786126,"Unit 9 ground floor, 18 Balliniska Rd, Londonderry BT48 0NA, UK",5,22,NONE,10
Ebrington Centre,pilates,028 7131 4000,"Ebrington St, Londonderry BT47 6EQ, UK",4,1,NONE,10
Kee Kennels & Cattery,dog,07894 068609,"11 Kee Rd, Campsie, Londonderry BT47 3PT, UK",4.8,26,NONE,10
Ivy lead boarding and training kennels,dog,,"Ivy Mead, Altnagelvin, Londonderry BT47 3WX, UK",,0,NONE,10
Black Paws Cattery,dog,07710 622053,"19 Rossdowney Gardens, Londonderry BT47 5PW, UK",5,3,NONE,10
Swillyvalley Boarding Kennels & Cattery,dog,(074) 936 8145,"Elaghbeg, Bridge End, Co. Donegal, F93 DR90, Ireland",3.9,14,https://www.facebook.com/swillyvalley,8
IGROOM DOG GROOMING BY LISA CURRAN SPRINGTOWN,dog,07749 457323,"Balliniska Rd, Springtown Rd, Londonderry BT48 0NA, UK",4.9,29,https://www.facebook.com/igroompetgroomers/,8
Blissful Brush Dog Grooming,dog,07749 317864,"22 Rossdowney Dr, Londonderry BT47 5PR, UK",5,12,NONE,10
The Dog Parlour,dog,07724 330117,"Ráth mór centre Bligh's lane, Londonderry BT48 0LZ, UK",5,14,https://m.facebook.com/TheDogParlourDerry/?tsid=0.09270813212260043&source=result,8
D&M GROOMERS,dog,07927 443098,"53 Rosemount Ave, Londonderry BT48 0HL, UK",5,3,https://www.facebook.com/dmgroomers/,8
Bark N Baths,dog,07719 579277,"Unit 6, Swilly House, Springtown Rd, Londonderry BT48 0GH, UK",4.9,68,https://www.facebook.com/BarkNBaths/,8
CANINE BARBER COMPANY,dog,,"66 Strand Rd, Londonderry BT48 7PX, UK",5,6,NONE,10
Trendy Paws By Craig Jan,dog,07522 782066,"27 Grangewood Ct, Londonderry BT47 5WT, UK",5,11,NONE,10
Groomin Marvelous,dog,07855 808932,"4 North Meadows, Londonderry BT48 0QB, UK",4.6,34,NONE,10
Dapper Dogs Mobile Grooming,dog,07368 243039,"Prehen Park, Derry BT47 2NY, UK",5,1,https://www.facebook.com/share/7EEw52GaybQdHqHK/?mibextid=LQQJ4d,8
Platinum Puppies,dog,07488 238101,"20 Rathlin Gardens, Londonderry BT48 9UE, UK",5,4,https://www.facebook.com/PlatinumPuppies/,8
Catwalk Dogs Grooming Salon & Doggie Daycare,dog,,"Racecourse Rd, Londonderry BT48 7UD, UK",5,5,NONE,10
ALL FURR DOGS,dog,07779 028028,"1 Sheraton Park, Londonderry BT48 0AQ, UK",4.4,5,https://www.facebook.com/allfurrdogs,8
Pampered Paws K9,dog,028 7131 3864,"Unit 1, Ballyore Business Park, Victoria Rd, Newbuildings, Londonderry BT47 2TH, UK",4.8,45,https://www.facebook.com/Pampered-Paws-K9-275303015816493/,8
Hair of the Dog grooming Salon & boutique,dog,07857 745888,"Skeoge Industrial Estate, Beraghmore Rd, Londonderry BT48 8SE, UK",4.6,9,NONE,10
Best Buddies Groomers,dog,07821 072599,"8 Glasgow Terrace, Londonderry BT48 0DP, UK",5,2,NONE,10
Adorable Dogs,dog,07753 117195,"20 Maydown Rd, Strathfoyle, Londonderry BT47 6UJ, UK",4.9,18,NONE,10
Stepping Stones Day Nursery,nursery,028 7134 6683,"31c Glendermott Rd, Londonderry BT47 6BG, UK",,0,NONE,10
Small World Day Nursery,nursery,028 7136 7159,"Unit 6, 8 Blighs Ln, Londonderry BT48 0LZ, UK",,0,NONE,10
Wee Bears Day Nursery,nursery,028 7136 7186,"34 Balliniska Rd, Londonderry BT48 0NA, UK",4,1,NONE,10
Carnhill Nursery School,nursery,028 7135 3013,"Village Ln, Londonderry BT48 8DU, UK",5,3,NONE,10
Surestart,nursery,028 7134 7186,"The Workhouse, 23 Glendermott Rd, Londonderry BT47 6BG, UK",5,3,NONE,10
Stepping Stones Day Nursery,nursery,028 7126 5987,"County, 20 Heather Rd, Lenamore, Londonderry BT48 9XD, UK",5,1,NONE,10
YMCA Childcare,creche,028 7130 1662,"51 Glenshane Rd, Drumahoe, Londonderry BT47 3SF, UK",5,2,https://m.facebook.com/Drumahoe-Out-of-School-Club-282539435195099/?locale2=en_GB,8
Scribblers,creche,,"Scribblers Child Care Agency, Ulsterville Ave, Londonderry BT47 6EU, UK",5,1,NONE,10
Hill Top Day Nursery,creche,028 7135 3498,"49 Beragh Hill Rd, Londonderry BT48 8LY, UK",5,1,NONE,10
Hollybush Daycare,creche,028 7135 3329,"262 Culmore Rd, Londonderry BT48 8JL, UK",5,1,NONE,10
BHCP SureStart,childcare,028 7136 7524,"Helen St, Londonderry BT48 9DD, UK",5,1,NONE,10
Surestart,childcare,028 7126 7524,"1 Ringfort Rd, Londonderry BT48 0PZ, UK",4,1,NONE,10
The Cottage,childcare,028 7131 4480,"106 Irish St, Londonderry BT47 2ND, UK",5,7,NONE,10
Ac Motors Direct Ltd,car,07742 792083,"Unit 43, North West Business Complex, Beraghmore Road, Londonderry BT48 8SE, UK",5,1,https://www.facebook.com/ACMotorsDirect/,8
City auto wholesale,car,07393 339272,"Elagh Business Park East, 17 Buncrana Rd, Londonderry BT48 8LU, UK",3.7,3,NONE,10
NorthWest MOT & Service Centre,mot,07944 764742,"Unit 2c, Altnagelvin Industrial Estate, Trench Rd, Londonderry BT47 2ED, UK",4.3,7,NONE,10
MoT Test Centre,mot,028 7134 3674,"New Buildings Industrial Estate, Victoria Rd, Newbuildings, Londonderry BT47 2SX, UK",4.5,234,NONE,10
Rathmor Motors Garage,mot,028 7126 0330,"Springtown Industrial Estate, Unit 4 Springtown Dr, Londonderry BT48 0LY, UK",4.7,48,NONE,10
North West Mot Services,mot,028 7134 5503,"North West M O T Services, 44 Duncastle Rd, Newbuildings, Londonderry BT47 2ST, UK",4.7,44,NONE,10
The Specky Detailers,car,07523 224020,"12 Ebrington Park, Londonderry BT47 6JE, UK",5,2,NONE,10
Dv valeting and detailing,car,07922 239323,"Lenamore Rd, Londonderry BT48 8NA, UK",,0,NONE,10
A&E Car Wash Valeting,car,07845 410997,"65 Rosemount Ave, Londonderry BT48 0HH, UK",4.4,26,https://www.facebook.com/AE-Carwash-Valet-Rosemount-527841180690015/,8
Burkeys Valeting&Detailing,car,,"Stanleys Walk, Londonderry BT48 9HJ, UK",3.7,3,NONE,10
Sperrin Detail,car,07938 988541,"Unit 30, Glenshane enterprise centre, 414a Ballyquin Rd, Dungiven, Londonderry BT47 4NQ, UK",5,19,http://facebook.com/Sperrindetail,8
Quayside Valeting,car,07522 178525,"Londonderry BT48 7PX, UK",5,2,NONE,10
The Valet Centre,car,028 7116 5779,"Foyleside Shopping Centre, Orchard St, Londonderry BT48 6XY, UK",3.9,41,NONE,10
Elite Finish Valeting,car,07399 208916,"Aughlish Ct, Londonderry BT47 6JN, UK",,0,https://www.facebook.com/EliteFinishValeting,8
Foyle Valley Car Wash,car,028 7136 2424,"1 Foyle Rd, Londonderry BT48 6SQ, UK",3.9,18,NONE,10
CAMPSIE CARWASH & VALET CENTRE,car,028 7181 1066,"99 Clooney Rd, Eglinton, Campsie, Londonderry BT47 3PB, UK",4.8,53,NONE,10
LW Auto Valets,car,,"11 Meadow View Cres, Rosemount, Londonderry BT48 0JD, UK",,0,NONE,10
HMValeting,car,07594 366129,"6 Kavanagh Ct, Londonderry BT48 0PN, UK",5,5,NONE,10
The Cottage,wedding,,"Craft Village, Shipquay St, Londonderry BT48 6AR, UK",5,21,NONE,10
Engage Live Photography Training,photographer,028 7116 0242,"80, 81 Ebrington St, Londonderry BT47 6FA, UK",5,9,NONE,10
Flowercraft & Design,florist,028 7135 9290,"68 Racecourse Rd, Londonderry BT48 8DS, UK",4.6,27,NONE,10
Flower craft,florist,028 7137 4411,"Unit 7 Springtown Shopping Centre, Londonderry BT48 0PU, UK",5,9,NONE,10
Flowers From Heaven,florist,028 7137 3763,"33 Messines Park, Londonderry BT48 8AP, UK",5,9,NONE,10
Kevin Lynch's,florist,028 7137 2999,"1 W End Terrace, Londonderry BT48 9EW, UK",4.4,8,NONE,10
Rossdowney Flowers & Gifts,florist,,"1 Rossdowney Rd, Waterside, Londonderry BT47 5NR, UK",3.8,15,NONE,10
Flora Craft,florist,028 7137 4411,"7 Northland Rd, Londonderry BT48 0PU, UK",,0,NONE,10
Patricia McCormack Flowers,florist,028 7135 4606,"15 Mount Vernon, Londonderry BT48 8AG, UK",4.2,5,NONE,10
Handmade Events,florist,07762 452582,"Enterpise House, 11 Great James St, Londonderry BT48 7BZ, UK",,0,NONE,10
Foyleview Properties,letting,028 7126 5309,"19 Crawford Square, Londonderry BT48 7HR, UK",5,2,NONE,10
Bovally Dental Practice,dentist,028 7776 6980,"Bovally House, Anderson Avenue, 8 Anderson Park, Limavady BT49 0TF, UK",5,6,NONE,10
Mckeee Dr L,dentist,028 7776 6980,"8 Anderson Park, Limavady BT49 0TF, UK",5,1,NONE,10
Smyth J T & Associates Ltd,dentist,028 7772 2464,"62 Catherine St, Limavady BT49 9DB, UK",,0,NONE,10
Bovally Medical Centre,dentist,028 7776 6352,"Bovally Medical Centre, 2 Rossair Rd, Limavady BT49 0TE, UK",3.5,15,NONE,10
Limavady Health Centre,dentist,028 7776 1100,"Scroggy Cl, Limavady BT49 0NA, UK",2.5,8,NONE,10
Toner Dr Antoinette,dentist,028 7776 6980,"8 Anderson Park, Limavady BT49 0TF, UK",,0,NONE,10
The Happy Landing,restaurant,028 7181 0206,"4 Main St, Eglinton, Londonderry BT47 3PQ, UK",4.4,391,NONE,10
Solo Restaurant,restaurant,028 7186 0912,"Unit 1A, Campsie, Londonderry BT47 3XX, UK",4.7,173,NONE,10
Mental street food,restaurant,07429 491533,"Happy landing carpark, Eglinton, Derry BT47 3PQ, UK",5,1,NONE,10
Gee's Kitchen,restaurant,07970 974726,"L'Derry, 18a Main St, Eglinton, Londonderry BT47 3PQ, UK",5,9,NONE,10
CEO Performance & Rehab,gym,07771 614654,"10c Captain Street Lower, Coleraine BT51 3DT, UK",5,8,NONE,10
Never Settle Strength & Conditioning,gym,07513 861585,"24C Ballyrashane Rd, Coleraine BT52 2NL, UK",5,7,NONE,10
Bearney Nurseries,nursery,07912 853039,"30a Liskey Rd, Strabane BT82 8NR, UK",4.9,47,NONE,10
Busy Bee Playschool,nursery,(074) 914 1176,"Tara Rose, Townparks, Lifford, Co. Donegal, Ireland",4.3,3,NONE,10
Ballycolman Nursery School,nursery,028 7188 3190,"Ballycolman Estate, Strabane BT82 9AQ, UK",,0,NONE,10
Artigarvan Nursery School,nursery,028 7188 6349,"31 Berryhill Road, Artigarvan, Strabane BT82 0HN, UK",,0,NONE,10
