name,category,phone,address,location,rating,review_count,website,place_id
SEAN LEONARD SCHOOL OF MOTORING,driving instructor,07729 370384,"151 Galliagh Prk, Londonderry BT48 8DF, UK","East Belfast, Northern Ireland",4.9,110,,ChIJI66eLxbjX0gR8oFzZXbQoBw
Mobile Tech,mobile mechanic,07307 212120,"26 Botanic Ave, Belfast BT7 1JQ, UK","Belfast, Northern Ireland",4.9,101,,ChIJRQU1CAkJYUgRpR0QpCTUUa0
Sports Massage Belfast | Relax & Recover,mobile massage therapist,07984 967464,"Belvoir Community Hub, Drumart Square, Belfast BT8 7ET, UK","Belfast, Northern Ireland",5,94,https://instagram.com/michaelgraham_86?igshid=NTc4MTIwNjQ2YQ==,ChIJd8_pnJcPYUgRCJAHtxBpZvo
A New Start Driving School,driving instructor,07990 762133,"Ormeau Rd, Ormeau, Belfast BT7 3LA, UK","Belfast, Northern Ireland",5,89,,ChIJUaOEpN8IYUgRWtBcJtnmVZw
Oh My Dog Belfast,dog groomer,07939 881123,"13 Shore Rd, Belfast BT15 3PG, UK","Belfast, Northern Ireland",4.9,79,http://www.facebook.com/ohmydogbelfast,ChIJJ4e9qsAJYUgRwvBHu4MeL-E
LG DECORATORS,painter decorator,07729 802727,"12 Victoria Ct, Sydenham, Belfast BT4 1RQ, UK","Belfast, Northern Ireland",4.8,77,https://www.facebook.com/profile.php?id=100054628322044,ChIJVYXCIXUJYUgR99yoBhvzcqo
Lean 'N' Mean Personal Training,personal trainer,07895 110730,"Unit 1 S Circular Retail Park, Bangor BT19 7AG, UK","Bangor, Northern Ireland",5,72,,ChIJDZ3lTup1YUgRXeJtw4CJ5BQ
Wallace and Donut - Cafe Lisburn,baker,07951 608529,"45 Seymour St, Lisburn BT27 4SY, UK","Lisburn, Northern Ireland",4.9,71,,ChIJK3jcCuYFYUgRNhFSxgTZzM0
Bark N Baths,dog groomer,07719 579277,"Unit 6, Swilly House, Springtown Rd, Londonderry BT48 0GH, UK","Belfast, Northern Ireland",4.9,68,https://www.facebook.com/BarkNBaths/,ChIJzS7Q5q3jX0gRyJTdOdYfMGQ
The Tiling Specialist - Simon Corbett,tiling contractor,07766 194889,"48 Balmoral Square, Bangor BT19 7XL, UK","Bangor, Northern Ireland",4.9,68,,ChIJ7S4VXO91YUgR385324ErW6Q
Holywood Celebrity Barbers,mobile barber,07397 188844,"355 Holywood Rd, Belfast BT4 2LR, UK","Holywood, Northern Ireland",4.8,68,,ChIJ1wPRl9QJYUgRP3jL9_zaQIQ
MMC Cleaning NI - Carpet Cleaning Belfast & Sofa Cleaning Belfast / Interior Car Valeting Belfast,mobile car wash,07745 199990,"16 Old Colin, Dunmurry, Belfast BT17 0AX, UK","Belfast, Northern Ireland",5,67,https://www.facebook.com/mmccleaningni,ChIJP0kIa408BQsRqmJ0nx_u5Q4
Holywood Turkish Barber,mobile barber,07472 723632,"85 High St, Holywood BT18 9AE, UK","Holywood, Northern Ireland",4.8,64,,ChIJjVgjO3QKYUgRFowPM3g4jL4
Tc tyres & mobile tyre fitting Ni,mobile mechanic,07543 119191,"323 Oldpark Rd, Belfast BT14 6QS, UK","Belfast, Northern Ireland",5,63,,ChIJMSLy2dkJYUgRA5rCubrganY
ALBe's Gluten Free Sweet Bakery,baker,07539 852772,"32 Central Ave, Bangor BT20 3AF, UK","Bangor, Northern Ireland",4.9,62,,ChIJZ2tLVPZ1YUgRTaHxqOSypIo
Level Up Fitness,personal trainer,07738 853633,"23 Henry Pl, Belfast BT15 2AY, UK","Belfast, Northern Ireland",5,61,https://www.instagram.com/levelupfitnessbelfast/,ChIJd3xJ81QJYUgR0Iow8P0tytA
Mobile Zone Newtownards,mobile mechanic,07375 755234,"40 High St, Newtownards BT23 7HZ, UK","Newtownards, Northern Ireland",4.6,59,,ChIJ7TGzp8l1YUgR0aHOmO0g9to
JM Autos,mobile mechanic,07747 612977,"29-31 Premier Dr, Belfast BT15 3LY, UK","Belfast, Northern Ireland",5,50,https://www.facebook.com/jonnymurphyautos/,ChIJX9aKIjMIYUgRlDyBwAVJWU8
Biscuit Paws Dog Grooming,dog groomer,07514 829971,"17B High St, Donaghadee BT21 0AA, UK","Bangor, Northern Ireland",5,49,,ChIJtwp4gEh0YUgRF11GN4npRMI
Stable Door Gourmet Burgers,catering service,07876 198598,"34 High St, Holywood BT18 9AD, UK","Holywood, Northern Ireland",5,49,,ChIJg_Mp6c9zYUgRXc8VaTN5Z7o
Belfast Dog Groomers,dog groomer,07933 282976,"327 Ballysillan Rd, Belfast BT14 6RE, UK","Belfast, Northern Ireland",4.7,48,,ChIJp7EaihUIYUgR0TZrb9tQwsM
Lifestyle & Performance Gym,personal trainer,07549 770238,"2 Hannahstown Hill, Hannahstown, Belfast BT17 0LT, UK","West Belfast, Northern Ireland",5,48,https://www.instagram.com/lifestyleandperformancegym?igsh=MW5yNno2bHB1cWdoZQ%3D%3D&utm_source=qr,ChIJbcaexQUHYUgRpsdG8-Dl3RM
RSM mechanics,mobile mechanic,07591 066877,"Newtownabby BT37 9QJ, UK","Belfast, Northern Ireland",4.6,46,,ChIJD7yWofenYUgRd4vxNLAwDCA
Quality car wash & valeting,mobile valeting,07708 580460,"36 Killynure Green, Carryduff, Belfast BT8 8FA, UK","Holywood, Northern Ireland",3.1,44,,ChIJW5XBIPoJYUgRAQXh2OHL72c
Cammy's Grooming & Spa,dog groomer,07761 505809,"115 Matchett St, Belfast BT13 1QD, UK","Belfast, Northern Ireland",5,43,https://www.facebook.com/people/Cammys-Grooming-Spa/100085697485306/,ChIJq_GZGX4JYUgROa8VEkMhlqY
Andyman Flatpacks,handyman,07588 029029,"68 Rosebery Rd, Belfast BT6 8JE, UK","Belfast, Northern Ireland",4.8,43,,ChIJmZgAAlcLYUgR4sqNIar5-RU
Grade 6 ADI,driving instructor,07525 941583,"26 Duncairn Gardens, Belfast BT15 2GD, UK","Belfast, Northern Ireland",4.9,42,,ChIJR05Pa0wIYUgRTXhKf_qKOL0
Belfast Tree & Garden Services - Pruned /Topped/Removed,gardening service,07707 832846,"30 Richardson Court, Belfast BT6 8DG, UK","Belfast, Northern Ireland",4.9,41,,ChIJe2vC_5YIYUgRRRwdnaFjqdE
Paint Rite Decorators,painter decorator,07710 400015,"St Marks Wood, Lisburn BT28 1AQ, UK","Lisburn, Northern Ireland",4.9,41,,ChIJ9XmMpAsEYUgRaOR_7QzOohI
Antonio made in Naples pizzeria napoletana,mobile catering,07454 858171,"St George's Market, 192 Falls Rd, Belfast BT12 6AG, UK","Belfast, Northern Ireland",5,40,,ChIJw9uqEDMJYUgRNi3r_vC3uk8
Revive Massage Dundonald,mobile massage therapist,07874 380907,"A8, inspire business centre, Dundonald, Belfast BT16 1QT, UK","East Belfast, Northern Ireland",5,39,,ChIJz1InzAELYUgRf-qqHo-tqxk
Drive With Gavin,driving instructor,07514 214480,"Manor Park, Bangor BT20 3LY, UK","Bangor, Northern Ireland",5,39,,ChIJK8GX7imeYUgRy0ZVdQYaab0
Jack in a Box Dog Grooming,dog groomer,07864 987299,"287 Newtownards Rd, Belfast BT4 1AG, UK","Belfast, Northern Ireland",5,38,https://www.facebook.com/profile.php?id=100095222835147,ChIJRR9qYPMJYUgRQPQRNdXhcWE
Merriam Driving Lessons in automatic car,driving instructor,07737 162999,"17 Bridge St, Lisburn BT28 1XZ, UK","Lisburn, Northern Ireland",4.9,37,,ChIJsTlgXlwEYUgR9tBRzS9DTZw
Balieys Pad Boarding Kennels,pet sitting,07931 391298,"16 Bailie Rd, Bangor BT19 7QW, UK","Bangor, Northern Ireland",4.8,37,,ChIJLa3C31B3YUgRcAdmaPkFMAg
Pooches Palace Bangor,dog groomer,07548 472586,"91 High St, Bangor BT20 5BD, UK","Bangor, Northern Ireland",4.9,36,,ChIJGYAzDBqeYUgRGKTX9PseA2I
Transform Fitness,personal trainer,07415 004144,"22, Hannahstown Business Park, Hannahstown, Belfast BT17 0LT, UK","Belfast, Northern Ireland",4.9,35,,ChIJf2vmMoIHYUgRXWxnka4A6go
RHS Robin's handyman services,handyman,07784 550820,"11 Windsor Ave, Lisburn BT28 1EE, UK","Lisburn, Northern Ireland",5,35,,ChIJU3UKp3wEYUgRVZT2BQM4x10
Boyd Mechanical,mobile mechanic,07521 682529,"188 Church Rd, Holywood BT18 9RN, UK","Holywood, Northern Ireland",5,35,,ChIJq6p7ZvUKYUgRulEMKu7SlcI
Groomin Marvelous,dog groomer,07855 808932,"4 North Meadows, Londonderry BT48 0QB, UK","West Belfast, Northern Ireland",4.6,34,,ChIJB27-SMXjX0gR5pvGoDxOtI4
The Phoneshop Lisburn,mobile mechanic,07599 877667,"4 Antrim St, Lisburn BT28 1AU, UK","Lisburn, Northern Ireland",5,34,,ChIJEeUl2MUFYUgRJn-qyYWPbe8
AMC Property Maintenance,landscaping,07714 030881,"Navar Dr, Bangor BT19 7SW, UK","Bangor, Northern Ireland",4.6,34,,ChIJ_X7hD6l1YUgRsFTMAvY65bo
Lifted by Laura - Personal Training,personal trainer,07808 834392,"Unit 2, Lesley Retail Park, Boucher Rd, Belfast BT12 6HH, UK","Belfast, Northern Ireland",4.9,32,https://www.facebook.com/liftedbylaura.pt,ChIJiSJKig8JYUgRjGI2IOFPArE
North Down Barbell Club,personal trainer,07594 422329,"39 Regent St, Newtownards BT23 4AA, UK","Newtownards, Northern Ireland",4.9,31,,ChIJ1RkR5PB0YUgR8dyCIEN_kr0
Elite Cleaning Services,cleaning service,07756 059298,"45 Ashburn Ave, Londonderry BT47 5QE, UK","Belfast, Northern Ireland",4.6,28,,ChIJl1sROeXhX0gROIDbuxZl5D0
Sol Boyles Coaching,personal trainer,07581 060117,"Address 3 Rathdown walk, Lisburn, BT28 2RB, Lisburn BT27 5EA, UK","Lisburn, Northern Ireland",5,28,https://www.instagram.com/solboyles_coaching/,ChIJIfUYwK8FYUgRfKDDiDJ8aq0
Dirty Deeds Detailing,car detailing,07584 834769,"Gwynedd Body Shop, Lower Garage, Station Rd, Bangor LL57 1LZ, UK","Bangor, Northern Ireland",4.9,27,https://www.facebook.com/DirtyDeedsDetailingUK,ChIJEQ7CJoEHZUgRoOxz-qA0orw
GSC Autofix,mobile mechanic,07921 464971,"28 Balloo Dr, Bangor BT19 7QY, UK","Bangor, Northern Ireland",4.8,27,,ChIJ95ryGe11YUgR3JqNLv3HJeU
Groom HQ,dog groomer,07841 977580,"287 Newtownards Rd, Belfast BT4 1AG, UK","East Belfast, Northern Ireland",4.8,26,,ChIJd5JXqW4JYUgRvPSQu7bdSJg
A&E Car Wash Valeting,mobile valeting,07845 410997,"65 Rosemount Ave, Londonderry BT48 0HH, UK","East Belfast, Northern Ireland",4.4,26,https://www.facebook.com/AE-Carwash-Valet-Rosemount-527841180690015/,ChIJr0eND6jhX0gRgvtansYGqrM
Kee Kennels & Cattery,pet sitting,07894 068609,"11 Kee Rd, Campsie, Londonderry BT47 3PT, UK","West Belfast, Northern Ireland",4.8,26,,ChIJh0Xwvz8JYEgRaoNbv2dEOgs
Jay's Garden Services,gardening service,07546 610875,"9 Belgravia Park, Bangor BT19 6XB, UK","Bangor, Northern Ireland",5,25,https://www.facebook.com/jaysgardenservicesni,ChIJ10WDtp93YUgR4tcaIx7WmUI
Coco DeShed,mobile dog grooming,07882 661864,"88 Trillick St, Belfast BT5 4QZ, UK","Belfast, Northern Ireland",4.8,24,https://m.facebook.com/CocoDeShed/,ChIJe76qnG0JYUgR-8_CWHFyeRY
Aim2drive ni,driving instructor,07802 404038,"20 Greer Park Ave, Belfast BT8 7YF, UK","Belfast, Northern Ireland",5,24,,ChIJNf7sHoAvnUEREDHqn3FeJFk
What the Fluff dog grooming Sandy Row,dog groomer,07717 640608,"127 Sandy Row, Belfast BT12 5ET, UK","South Belfast, Northern Ireland",5,24,,ChIJLwTrY_QJYUgRMsWGdGXdka8
Burn More 24,personal trainer,07756 339372,"217-219 Templemore Ave, Belfast BT5 4FS, UK","South Belfast, Northern Ireland",5,24,https://www.facebook.com/burnmore24/,ChIJm9foKrMJYUgR4X2VGoczPgM
Doggie Day Centre,pet sitting,07580 049418,"73A Green Rd, Bangor BT19 7QA, UK","Bangor, Northern Ireland",4.8,24,http://www.facebook.com/doggiedaycentre/,ChIJ71HIbd11YUgRx0U1YHaYuss
Strength and Mind Fitness Studio,personal trainer,07476 036384,"243 Castlereagh Rd, Belfast BT5 5FL, UK","Belfast, Northern Ireland",5,23,,ChIJ3fCZBYoJYUgRB5EUOuFk47g
Mullaneycuts Mobile Barber,mobile barber,07934 845449,"21 Aghagay Meadows, Newtownbutler, Enniskillen BT82 8AE, UK","Lisburn, Northern Ireland",5,23,,ChIJu1GwWWpuF64RCfo_UPjUavQ
KG Gardening,gardening service,07883 590844,"11 Tower Rd, Conlig, Newtownards BT23 7PN, UK","Bangor, Northern Ireland",5,23,,ChIJldmTR_JLS40Rc5lmmNZeRYw
Dani Orr Hair,mobile hairdresser,07859 921430,"129 High St, Holywood BT18 9LG, UK","Holywood, Northern Ireland",4.7,23,,ChIJJ2IvaXQKYUgRX3UWRo05mkk
The Groomer,dog groomer,07763 684271,"Unit 2, 734 Upper Newtownards Rd, Belfast BT16 1RJ, UK","Belfast, Northern Ireland",4.6,22,https://www.facebook.com/ThegroomerNI,ChIJS7_7hkkLYUgRLm6OvKVDDKs
Jon's Tree Services N.I,tree surgeon,07729 189181,"19 Henderson Dr, Bangor BT19 1NR, UK","Bangor, Northern Ireland",4.9,22,,ChIJ8X-bVl9qd6cRc3P8JQmeQuY
Spellbound Styles,dog groomer,07394 587626,"144 Longstone St, Lisburn BT28 1TR, UK","Lisburn, Northern Ireland",5,21,,ChIJLdfW__cFYUgRA5FDpb6jK9w
Auto Hut,mobile mechanic,07544 280172,"17 Cardy Cl, Bangor BT19 1AT, UK","Bangor, Northern Ireland",5,21,,ChIJQZa9VEh1YUgRCON2An5LXGE
Posh Pooches Dog Groomers Castlereagh,dog groomer,07738 699554,"126 Orby Dr, Castlereagh, Belfast BT5 6BB, UK","Belfast, Northern Ireland",4.8,20,,ChIJL-8bm7MJYUgR_Qgu5S1rLsE
Puppy Love Dog Parlour,dog groomer,07834 557032,"75 Mercer St, Lisburn BT27 5AJ, UK","Lisburn, Northern Ireland",5,20,https://www.facebook.com/Puppylovedogparlour/,ChIJKV27tLkFYUgRshrlMIXcS6o
Urban Jungle Tree Surgeons,tree surgeon,07528 812413,"16 Brianville Park, Bangor BT19 6DZ, UK","Bangor, Northern Ireland",4.9,20,,ChIJVVW5a_idYUgRPM7bpUToiJ8
For Pup's Sake,dog groomer,07517 669178,"53B Church St, Newtownards BT23 4AN, UK","Newtownards, Northern Ireland",5,20,http://www.facebook.com/ForPupsSake2019,ChIJx15QYKF1YUgRwJOn8rfq_j4
Doggy Styling Dog Grooming,dog groomer,07551 707936,"34 Sydenham Park, Belfast BT4 1PW, UK","Belfast, Northern Ireland",5,19,,ChIJtyQK09YJYUgRE_v-xhDx-eg
Shiny Disco Paws Dog Grooming,dog groomer,07730 562930,"Glenhoy Dr, Belfast BT5 5LB, UK","Belfast, Northern Ireland",5,19,https://www.facebook.com/profile.php?id=100093633527765,ChIJkwITdKwJYUgRuj2XON4enCE
Piccolo Mondo,mobile catering,07710 856811,"10 Edenderry Rd, Belfast BT8 8LD, UK","Belfast, Northern Ireland",4.9,19,,ChIJHd80flIPYUgR9XzfJKwkOUQ
Counter Culture Real Bread,baker,07526 758647,"Unit 71, 2-4 Balloo Ave, Bangor BT19 7QT, UK","Bangor, Northern Ireland",4.6,19,,ChIJoR8ipu51YUgRt2gYfIeSCIk
Neutral Auto Care,car detailing,07951 842343,"Unit 12B, Lamon Estates, 149 Glen Rd, Comber, Newtownards BT23 5QU, UK","Newtownards, Northern Ireland",4.9,19,http://www.instagram.com/Neutral_Auto_Care,ChIJz-RzOtQNYUgR-AW4y5vInMM
Adorable Dogs,mobile dog grooming,07753 117195,"20 Maydown Rd, Strathfoyle, Londonderry BT47 6UJ, UK","Belfast, Northern Ireland",4.9,18,,ChIJSYkdi8MJYEgRnu4FufRnsl4
Kellys Family Bakery,baker,07921 095701,"252 Whitewell Rd, Newtownabbey BT36 7NH, UK","West Belfast, Northern Ireland",4.9,18,,ChIJCUAQcwCnYUgRgeNGsl_mh1k
Robbie Mullan painting and decorating,painter decorator,07858 395168,"1 Copeland Square, Donaghadee BT21 0JZ, UK","Bangor, Northern Ireland",5,18,,ChIJG4_fIqN3YUgRq_3S2OG14Fs
Top Dog Grooming,dog groomer,07308 969076,"Noel’s Top Dog Grooming, Sloe Cottage, 42 Holywood Rd, Belfast, Newtownards BT23 4TQ, UK","Holywood, Northern Ireland",4.7,18,https://www.facebook.com/noelstopdoggrooming/,ChIJz2mbJMQJYUgRN2vj_FXS0sI
The Beauty Bar Comber,mobile beauty therapist,07384 408121,"Bt235bg, The Beauty Bar, Coronation Cres, Comber, Newtownards BT23 5BG, UK","Newtownards, Northern Ireland",4.8,18,https://www.facebook.com/TheBeautyBar12a/,ChIJb2CPL64MYUgRFfc1XL9Cmfw
Daisy Ducks dog grooming,dog groomer,07413 005070,"13 Newton Heights, Belfast BT8 6HA, UK","Belfast, Northern Ireland",5,17,https://www.facebook.com/share/19yS4YYPHL/?mibextid=wwXIfr,ChIJyZFLEbgPYUgRffk2TR0PDcM
Every Last Detail NI,mobile car wash,07738 094556,"258 Lagmore Meadows, Dunmurry, Belfast BT17 0TJ, UK","Belfast, Northern Ireland",5,17,,ChIJWTqwmK4HYUgRHHpv2Yvwl4k
Diamond Detailing,car detailing,07912 608654,"Dunmurry, Belfast BT17 9HN, UK","Belfast, Northern Ireland",4.9,17,https://www.facebook.com/diamond4detailing,ChIJnW8p79QFYUgRtpdlx3e_BMM
Garden Buddy,gardening service,07591 124249,"Ravenhill Ave, Belfast BT6 8LL, UK","Belfast, Northern Ireland",4.6,17,,ChIJ63RsAxAJYUgRkwo5az3gjuk
JC Automotive,mobile mechanic,07481 305301,"38a Beanstown Rd, Lisburn BT28 3NY, UK","Lisburn, Northern Ireland",5,17,,ChIJ3U92ZNwFYUgRBR82rFQll10
Cat Bullock Personal Training,personal trainer,07584 033145,"29 High St, Bangor LL57 1NP, UK","Bangor, Northern Ireland",5,17,,ChIJVbFRvF8HZUgRIJcE7Z6-uo0
Unbreakable Fitness & Nutrition,personal trainer,07704 952026,"Belsize Rd, Lisburn, BT27 BT27 4HY, UK","Lisburn, Northern Ireland",5,16,,ChIJLeduwvAFYUgRvWjuFOZxjtg
AK Decking and Fencing,landscaping,07935 198445,"55 Drumbeg Dr, Lisburn BT28 1PX, UK","Lisburn, Northern Ireland",5,16,,ChIJUUVo_i4FYUgRlwKVnPhWgcg
Just Jades Mobile Barber,mobile hairdresser,07930 850827,"Ballyquinton Gardens, Bangor BT19 1SG, UK","Bangor, Northern Ireland",4.8,16,,ChIJjzZ9d2J1YUgRmuwA_X08H30
JR Painting and Decorating,painter decorator,07732 000944,"62 Willowbrook Park, Bangor BT19 7GY, UK","Bangor, Northern Ireland",4.8,16,https://www.facebook.com/profile.php?id=100005152275674,ChIJky6RzPh1YUgRPhcyt0PxUIU
Gadget Hub,mobile mechanic,07344 945477,"27 Holywood Rd, Belfast BT4 3BA, UK","Holywood, Northern Ireland",4.8,16,,ChIJ_VxBsNkJYUgRfIK2y-pWcBg
Root & Branch Tree Services Ltd.,tree surgeon,07307 852155,"67 Church Rd, Belfast BT8 7AN, UK","Belfast, Northern Ireland",5,15,,ChIJN2iCGRkJYUgRcQP8RN4C3SE
Dan Gilmore,mobile mechanic,07979 247438,"7 Norbury St, Belfast BT11 8AD, UK","Belfast, Northern Ireland",4.9,15,,ChIJnfyAHykGYUgRY1qbokrarF8
Kasey's Drum Lessons,music teacher,07817 055097,"20 Clara Rd, Belfast BT5 6FN, UK","South Belfast, Northern Ireland",5,15,,ChIJ5wVdywYJYUgRataTohTHRC4
Kd Kennels,pet sitting,07809 839799,"8b Agars Rd, Lisburn BT28 2TQ, UK","Lisburn, Northern Ireland",5,15,,ChIJUUUbRq0DYUgR_HIbyOkZemA
Supreme Cleaning,cleaning service,07459 482836,"8 Creeve Pl, Lisburn BT28 1UT, UK","Lisburn, Northern Ireland",5,15,,ChIJgSWiB3sFYUgR6IrMXWWb6jA
Vanity Fur by Lynn,dog groomer,07305 180620,"2a Cotton Road Six Road Ends Facing, Nash's garden center, Bangor BT19 7QG, UK","Bangor, Northern Ireland",4.7,15,,ChIJ3QIZ5vJ1YUgRzTjgdtgSchI
MALL Details,mobile car wash,07400 902920,"10 Church Dr, Bangor BT20 3EE, UK","Bangor, Northern Ireland",5,15,,ChIJ8yNsrHWfYUgR8dlCzXQPaV0
All Seasons Garden Tree Services,gardening service,07711 538221,"13 Carlton Park, Bangor BT19 6WR, UK","Bangor, Northern Ireland",4.9,15,https://www.facebook.com/Mrrotavator/,ChIJp6bw2AZ2YUgRJqSyKHD24d8
Mona Tamim Beauty Salon,mobile beauty therapist,07877 078292,"29 Mount Pleasant Dr, Newtownards BT23 4WL, UK","Newtownards, Northern Ireland",5,15,,ChIJvwDJXz51YUgR1Q0XLyxKvRA
A star cleaners,cleaning service,07599 516681,"Shackleton Walk, Newtownards BT23 4RE, UK","Newtownards, Northern Ireland",5,15,https://www.facebook.com/profile.php?id=100093024333455,ChIJkz8oQa91YUgRf_mWA6Ur8Uk
Belfast Cake Boutique,wedding cake maker,07935 648281,"1A Ballycraigy Rd, Glengormley, Newtownabbey BT36 5ZZ, UK","Belfast, Northern Ireland",5,14,https://www.instagram.com/belfast_cake_boutique/,ChIJaz1D1LCnYUgReIsEru7-QUw
Mutt Hutt NI Ltd,pet sitting,07763 578169,"2 Hawe Rd, Bangor BT19 6NB, UK","Bangor, Northern Ireland",5,14,,ChIJ57rGFCF2YUgR-LBCNCncjv4
Beauty & Holistic Therapy,mobile beauty therapist,07514 200344,"117 Milltown Rd, Belfast BT8 7XP, UK","Belfast, Northern Ireland",5,13,,ChIJ34wLONAJYUgRtB5l8le-zys
Evergreen Tree Surgery & Landscaping,landscaping,07955 214345,"Unit 777, Moat House, 54 Bloomfield Ave, Belfast BT5 5AD, UK","Belfast, Northern Ireland",5,13,,ChIJrfHH2lMJYUgR2-7uUN_ddYo
Sandra's Luscious Cakes,wedding cake maker,07561 829565,"27 Glenside Park, Drumbo, Lisburn BT27 5LG, UK","Belfast, Northern Ireland",5,13,,ChIJy_leI30PYUgR4sGJHXv85Ys
Em car valeting,mobile valeting,07494 483951,"Hollyvale, Mossley, Newtownabbey BT36 5NG, UK","North Belfast, Northern Ireland",5,13,,ChIJ_aS_6VGnYUgRVYCoMlhpFD0
Barkingham palce,dog groomer,07752 315817,"69 Drumbeg Dr, Lisburn BT28 1QE, UK","Lisburn, Northern Ireland",4.7,13,,ChIJP8IrMHwEYUgRyNQSt2qASCQ
RPM mobile tyre and roadside assistance,mobile mechanic,07938 546525,"Hillhall Rd, Hillhall, Lisburn BT28 1UR, UK","Lisburn, Northern Ireland",4.7,13,,ChIJJ5C-vIkFYUgRnDCoZXGNqm0
Inca Road Studios,music teacher,07515 469273,"Unit 35 Enterprise Cres, Lisburn BT28 2BP, UK","Lisburn, Northern Ireland",4.9,13,,ChIJBcxGrCMFYUgRMpqltsBSHvU
Tails and Trails Bangor,dog groomer,07803 592805,"18 Hampton Park, Bangor BT19 7GL, UK","Bangor, Northern Ireland",5,13,https://www.facebook.com/TailsandTrailsBangor,ChIJBasZReR1YUgRDlNYNtYX1AQ
Dog Lead Go!,pet sitting,07730 398300,"2 Hawthorne Ct, Bangor BT20 3HR, UK","Bangor, Northern Ireland",5,13,,ChIJXQv7PTI9mY4RNbrFEhloP1I
JD Hair | Hair Stylist | Hair Salon | Mobile Hairdresser | Lisburn,mobile hairdresser,07889 083774,"14a Seymour St, Lisburn BT27 4XF, UK","Belfast, Northern Ireland",5,12,https://www.facebook.com/HairDoneByJD,ChIJXxFwiZgFYUgRHdWvkTRI67E
KAT'S Beauty Studio & Mobile Beauty Services,mobile beauty therapist,07706 758181,"8 Blackhall St, Kircubbin, Newtownards BT22 2QU, UK","Belfast, Northern Ireland",5,12,,ChIJaZF_by9wYUgRKMf4oH9uJ3g
Beauty Lane Lisburn,mobile beauty therapist,07841 654687,"53 Glen Rd, Lisburn BT27 5JR, UK","Lisburn, Northern Ireland",5,12,https://www.facebook.com/NailAvenueBeautylisburn/,ChIJj87bNJoFYUgRj5cKfrYas7Y
Debbie Morton Beauty And Holistic Therapies,mobile beauty therapist,07800 588278,"29 Robbys Point, Donaghadee BT21 0JU, UK","Bangor, Northern Ireland",5,12,,ChIJTxNO3pB3YUgRb_nlnhC0My4
The Dog Stylists,dog groomer,07885 974196,"21 Movilla St, Newtownards BT23 7JG, UK","Newtownards, Northern Ireland",3.7,12,,ChIJf05t8I51YUgRkcrdObMp4X4
Wash n Wax Worx,mobile car wash,07354 036065,"30 Comber Rd., Newtownards BT23 4QP, UK","Newtownards, Northern Ireland",3.6,12,,ChIJjQFNwUV1YUgR3Fxvp_CsqNE
Castlereagh Cleaning Company,cleaning service,07738 007914,"Castlereagh Rd, Castlereagh, Belfast BT6 9NR, UK","East Belfast, Northern Ireland",5,11,,ChIJiyXubG8JYUgRLHI3cpUyk1U
