name,category,phone,address,rating,reviews,website,score
Michael Tomasz Hairdressing,hairdresser,028 7126 8172,"Unit 3, Rock Mills, 126 Strand Rd, Londonderry BT48 7AD, UK",4.8,24,NONE,10
LUX Hair & Beauty Studio,hairdresser,07710 797261,"143 Bishop St, Londonderry BT48 6UJ, UK",4.8,22,NONE,10
Crumlish House Of Luxury Hair Extensions & Makeup Artistry,hairdresser,,"Pump St, Londonderry BT48 6JG, UK",4.9,9,NONE,10
Sammy's Barbershop,barber,07577 053073,"45 Great James St, Londonderry BT48 7DF, UK",5,31,NONE,10
Traditional Turkish Barber,barber,07857 997747,"152 Spencer Rd, Londonderry BT47 6AH, UK",4.7,121,NONE,10
City Turkish Barbers Derry,barber,,"25 The Diamond, Londonderry BT48 6HP, UK",4.6,120,https://m.facebook.com/CityTurkishBarberDerry/,8
District 47 Barbering Company,barber,07845 009876,"47 Carlisle Rd, Co, Londonderry BT48 6JJ, UK",4.8,18,NONE,10
The Barber Shop,barber,07544 194746,"82 Spencer Rd, Londonderry BT47 6AA, UK",4.9,35,NONE,10
Bareknuckle Barbershop,barber,07803 842600,"173 Spencer Rd, Londonderry BT47 6AH, UK",4.8,101,NONE,10
Bt48 barbering for men,barber,07517 698045,"16 Carlisle Rd, Londonderry BT48 6JN, UK",4.8,43,http://www.facebook.com/bt48barberingformen,8
SUMMERLAND STORES,barber,07447 821727,"13-15 Foyle St, Londonderry BT48 6AL, UK",5,3,https://www.facebook.com/share/1AYs9R88Mi/,8
The Waterloo Barber,barber,028 7126 4749,"44 Waterloo St, Londonderry BT48 6HF, UK",4.9,38,NONE,10
Roisin's Barbers,barber,,"96 Bishop St, Londonderry BT48 6PP, UK",4.6,11,NONE,10
Busters Barber Shop,barber,07594 749796,"21A Waterloo St, Londonderry BT48 6HA, UK",4.9,10,NONE,10
Man Cave Barber Shop,barber,028 7136 7770,"Whitehouse Retail, 65 Buncrana Rd, Londonderry BT48 8LB, UK",4.7,104,NONE,10
City barbers,barber,07500 357463,"9 Great James St, Londonderry BT48 7BZ, UK",4.9,40,NONE,10
Jake&Co,barber,028 7116 3694,"4 Messines Terrace, The Collon, Londonderry BT48 7QZ, UK",5,40,NONE,10
Breidges Barbers,barber,028 7137 2030,"47 Strand Rd, Londonderry BT48 7BN, UK",4.8,44,NONE,10
Choppers Barbers,barber,028 7130 9400,"74 Bishop St, Londonderry BT48 6QE, UK",5,1,NONE,10
Diamond Brow Bar,beauty salon,07751 099410,"4 Shipquay St, Londonderry BT48 6DN, UK",5,33,NONE,10
CODE,beauty salon,,"10/11, Craft Village, Londonderry BT48 6AR, UK",5,17,NONE,10
ProfessioNail Beauty Salon,beauty salon,07856 000020,"88 Spencer Rd, Waterside, Londonderry BT47 6AG, UK",4.5,31,NONE,10
Zolero,beauty salon,028 7137 0279,"145 Bishop St, Londonderry BT48 6UJ, UK",4.8,33,NONE,10
Beauty Unlimited,beauty salon,028 7137 2117,"22a Great James St, Londonderry BT48 7DA, UK",5,13,NONE,10
Michelle’s Beauty Clinic and Training Academy,beauty salon,07598 567984,"26 Spencer Rd, Londonderry BT47 6AA, UK",5,4,NONE,10
Miabella beauty bar,beauty salon,07895 490560,"88 Racecourse Rd, Londonderry BT48 8DS, UK",4.8,35,NONE,10
La Bella Salon,beauty salon,028 7131 1522,"51 Spencer Rd, Londonderry BT47 6AA, UK",4.9,28,NONE,10
Notorious Street Food,takeaway,,"Northside Village Centre, Glengalliagh Rd, Londonderry BT48 8NN, UK",4.9,529,NONE,10
Kebab House,takeaway,028 7137 4500,"42 Shipquay St, Londonderry BT48 6DW, UK",3.5,153,NONE,10
Chicken Plaza,takeaway,028 7141 3326,"27 Foyle St, Londonderry BT48 6AL, UK",4.1,141,NONE,10
BC Auto Repair,mechanic,07783 849000,"Unit 4 Springtown Dr, Londonderry BT48 0LY, UK",4.7,16,NONE,10
DC Auto Repair Derry,mechanic,07544 061038,"19, Rathmore Business Park, Londonderry BT48 0LZ, UK",4.9,52,https://d.facebook.com/DC-Auto-Repair-502182939915812/,8
Cusack's Garage,mechanic,028 7126 9209,"4A Claremont St, Londonderry BT48 7NB, UK",5,8,NONE,10
A1 Mobile mechanic derry,mechanic,07487 664507,"36 Westland St, Londonderry BT48 9ET, UK",,0,NONE,10
G Mak Auto Service,mechanic,028 7126 5151,"Iona Business Pk, Southway, Londonderry BT48 9AH, UK",5,70,https://www.facebook.com/gmakautoservices/about,8
Stewart Motors,mechanic,028 7126 7579,"43 Barry St, Londonderry BT48 7PJ, UK",5,24,NONE,10
Foyleside Garage,mechanic,028 7134 9203,"2a York St, Londonderry BT47 6DX, UK",3.3,12,NONE,10
Northland Motors,mechanic,028 7136 4141,"Unit 2, Northland Road Industrial Estate, Londonderry BT48 0LD, UK",4.5,62,NONE,10
Wallace Auto-repairs,mechanic,028 7141 7382,"4 Ferguson St, Londonderry BT48 6TA, UK",5,11,NONE,10
Od-S Garage,mechanic,,"Unit 12, B, Springtown Rd, Londonderry BT48 0LY, UK",4.6,15,NONE,10
Collon Cars,mechanic,028 7126 2952,"Unit 12,13,14, Northland Road Industrial Estate, Northland Rd, Londonderry BT48 0LD, UK",4.7,43,NONE,10
Wilson's Autorepair,mechanic,07488 260222,"2 Temple Park, Londonderry BT48 8PN, UK",5,7,NONE,10
Emc Autos Mobile Mechanic,mechanic,07871 717678,"80A Culmore Rd, Londonderry BT48 8JB, UK",5,7,NONE,10
F & S Motors,mechanic,028 7135 0565,"26 Lenamore Rd, Londonderry BT48 8NA, UK",3.9,7,NONE,10
Hasson Motors,mechanic,07751 322671,"27a Sheriffs Rd, Londonderry BT48 0JS, UK",4.9,38,https://www.facebook.com/hassonmotors16/,8
20 laburnum terrace,mechanic,,"4 College Terrace, Londonderry BT48 7JG, UK",,0,NONE,10
The Garage,mechanic,,"24 Queens Quay, Londonderry BT48 7AS, UK",4,2,NONE,10
Sho Vij Fitness Female Body Tone Coach Derry,personal trainer,07935 487075,"Raw Fitness Derry Ltd, Pennyburn Industrial Estate, Londonderry BT47 0LU, UK",5,9,NONE,10
Raw Fitness Derry Ltd,personal trainer,07703 326018,"5, Londonderry BT48 0LU, UK",5,44,NONE,10
Raise The Bar Fitness Female Personal Training Derry,personal trainer,07856 890786,"Raise The Bar Fitness Derry, Unit 5 Balliniska Rd, Springtown Dr, Londonderry BT48 0LY, UK",5,5,NONE,10
Xtreme Gym,personal trainer,028 7134 5044,"2 Distillery Brae, Londonderry BT47 6AN, UK",4.8,35,NONE,10
Paul Kelly Personal Trainer/Coach,personal trainer,07716 093501,"Unit 43, North West Business Complex Skeoge Industrial park, Londonderry BT48 8SE, UK",5,6,NONE,10
Transition Derry,personal trainer,07843 956960,"5, Swilly House, Springtown Industrial Estate, Londonderry BT48 0LY, UK",5,6,NONE,10
Paul Mc Gowan Fitness Derry,personal trainer,085 775 9877,"Unit 1 & 2, Springtown Industrial Estate, Springrowth Rd, Londonderry BT48 0LY, UK",5,14,NONE,10
Strive Performance Center limited,personal trainer,07564 477858,"Unit 8 Elagh Business Pk, Coshquin, Londonderry BT48 8QP, UK",5,18,NONE,10
Elite Cleaning Services,cleaner,07756 059298,"45 Ashburn Ave, Londonderry BT47 5QE, UK",4.6,28,NONE,10
Cleanlyy,cleaner,028 7178 2153,"Rhodemore Ltd, The Innovation Centre, Bay Rd, Londonderry BT48 7TG, UK",5,1,NONE,10
Oven Cleaning Muckers,cleaner,028 7100 0028,"103 Westlake Enagh, 103 Westlake, Strathfoyle, Londonderry BT47 6WE, UK",4.8,19,NONE,10
Xtreme Cleaning Services ni,cleaner,07517 003144,"Creggan St, Londonderry BT48 0EU, UK",5,1,NONE,10
Speedy Clean,cleaner,028 7134 7822,"5 Blackburn Cres, Londonderry BT47 5QG, UK",5,2,NONE,10
Bark N Baths,dog groomer,07719 579277,"Unit 6, Swilly House, Springtown Rd, Londonderry BT48 0GH, UK",4.9,68,https://www.facebook.com/BarkNBaths/,8
IGROOM DOG GROOMING BY LISA CURRAN SPRINGTOWN,dog groomer,07749 457323,"Balliniska Rd, Springtown Rd, Londonderry BT48 0NA, UK",4.9,29,https://www.facebook.com/igroompetgroomers/,8
CANINE BARBER COMPANY,dog groomer,,"66 Strand Rd, Londonderry BT48 7PX, UK",5,6,NONE,10
The Dog Parlour,dog groomer,07724 330117,"Ráth mór centre Bligh's lane, Londonderry BT48 0LZ, UK",5,14,https://m.facebook.com/TheDogParlourDerry/?tsid=0.09270813212260043&source=result,8
Blissful Brush Dog Grooming,dog groomer,07749 317864,"22 Rossdowney Dr, Londonderry BT47 5PR, UK",5,12,NONE,10
Trendy Paws By Craig Jan,dog groomer,07522 782066,"27 Grangewood Ct, Londonderry BT47 5WT, UK",5,11,NONE,10
D&M GROOMERS,dog groomer,07927 443098,"53 Rosemount Ave, Londonderry BT48 0HL, UK",5,3,https://www.facebook.com/dmgroomers/,8
Catwalk Dogs Grooming Salon & Doggie Daycare,dog groomer,,"Racecourse Rd, Londonderry BT48 7UD, UK",5,5,NONE,10
Dapper Dogs Mobile Grooming,dog groomer,07368 243039,"Prehen Park, Derry BT47 2NY, UK",5,1,https://www.facebook.com/share/7EEw52GaybQdHqHK/?mibextid=LQQJ4d,8
Groomin Marvelous,dog groomer,07855 808932,"4 North Meadows, Londonderry BT48 0QB, UK",4.6,34,NONE,10
Platinum Puppies,dog groomer,07488 238101,"20 Rathlin Gardens, Londonderry BT48 9UE, UK",5,4,https://www.facebook.com/PlatinumPuppies/,8
Best Buddies Groomers,dog groomer,07821 072599,"8 Glasgow Terrace, Londonderry BT48 0DP, UK",5,2,NONE,10
Adorable Dogs,dog groomer,07753 117195,"20 Maydown Rd, Strathfoyle, Londonderry BT47 6UJ, UK",4.9,18,NONE,10
Pampered Paws K9,dog groomer,028 7131 3864,"Unit 1, Ballyore Business Park, Victoria Rd, Newbuildings, Londonderry BT47 2TH, UK",4.8,45,https://www.facebook.com/Pampered-Paws-K9-275303015816493/,8
ALL FURR DOGS,dog groomer,07779 028028,"1 Sheraton Park, Londonderry BT48 0AQ, UK",4.4,5,https://www.facebook.com/allfurrdogs,8
The Handyman,handyman,028 7181 0941,"42 Woodvale Mews, Eglinton, Londonderry BT47 3FE, UK",5,1,NONE,10
Instant Property Maintenance Ltd,handyman,028 7131 3325,"5 Columba Ter, Londonderry BT47 6JT, UK",5,2,NONE,10
ProMastix Sealants,handyman,,"20c Balliniska Rd, Londonderry BT48 0NA, UK",,0,NONE,10
M C Plastering,plasterer,07709 614094,"4 Copperfield Dr, Londonderry BT47 5DG, UK",5,2,NONE,10
KC Locksmiths,locksmith,07528 758157,"11 Maybrook Park, Londonderry BT48 7TP, UK",4.9,40,NONE,10
