address,price,property_type,bedrooms,bathrooms,agent,date_listed,status,url,area,scraped_at
"101 Mill Road, Eglinton",£214000,Detached,2,3,Braidwood Properties,2025-12-24,For Sale,https://www.propertypal.com/property/142593/detail,Eglinton,2026-03-17T20:32:32.374010
"3 Garden Close, Newbuildings",£363000,Townhouse,5,3,Caldwell Properties,2026-03-02,For Sale,https://www.propertypal.com/property/624845/detail,Newbuildings,2026-03-17T20:32:32.374018
"13 King Street, Newbuildings",£207000,Terraced,2,1,Anderson Properties,2026-02-27,For Sale,https://www.propertypal.com/property/856779/detail,Newbuildings,2026-03-17T20:32:32.374026
"42 Church Road, Culmore",£100000,Terraced,4,3,Neill Estate Agents,2025-12-25,Sale Agreed,https://www.propertypal.com/property/268400/detail,Culmore,2026-03-17T20:32:32.374033
"74 Meadow Park, Drumahoe",£424000,Detached,4,3,McGilloway Properties,2026-01-16,For Sale,https://www.propertypal.com/property/795190/detail,Drumahoe,2026-03-17T20:32:32.374041
"28 Sycamore Close, Cityside",£202000,Apartment,1,3,Braidwood Properties,2025-12-19,For Sale,https://www.propertypal.com/property/522869/detail,Cityside,2026-03-17T20:32:32.374049
"12 Station Road, Cityside",£375000,Apartment,1,3,Bamford Properties,2025-12-18,For Sale,https://www.propertypal.com/property/641066/detail,Cityside,2026-03-17T20:32:32.374057
"73 Bridge Street, Drumahoe",£377000,Terraced,5,1,Pinewood Properties,2026-01-28,For Sale,https://www.propertypal.com/property/108047/detail,Drumahoe,2026-03-17T20:32:32.374064
"2 King Street, Drumahoe",£209000,Detached,2,3,Anderson Properties,2026-02-07,Sale Agreed,https://www.propertypal.com/property/220796/detail,Drumahoe,2026-03-17T20:32:32.374072
"102 Mill Road, Strathfoyle",POA,Apartment,5,2,Anderson Properties,2026-01-21,For Sale,https://www.propertypal.com/property/115019/detail,Strathfoyle,2026-03-17T20:32:32.374080
"120 Queen Street, Cityside",£180000,Detached,1,1,McGilloway Properties,2026-03-09,Sale Agreed,https://www.propertypal.com/property/341711/detail,Cityside,2026-03-17T20:32:32.374088
"12 Oakwood Drive, Eglinton",POA,Semi-detached,4,2,O'Sullivan Estate Agents,2025-12-28,For Sale,https://www.propertypal.com/property/830272/detail,Eglinton,2026-03-17T20:32:32.374096
"12 Park Avenue, Newbuildings",POA,Terraced,1,1,McDermott Property,2026-03-06,For Sale,https://www.propertypal.com/property/395859/detail,Newbuildings,2026-03-17T20:32:32.374104
"91 Queen Street, Derry City",£290000,Semi-detached,1,3,Quinn Estates,2026-01-06,Under Offer,https://www.propertypal.com/property/471420/detail,Derry City,2026-03-17T20:32:32.374111
"70 Church Road, Waterside",£271000,Apartment,4,1,O'Sullivan Estate Agents,2026-01-07,For Sale,https://www.propertypal.com/property/487771/detail,Waterside,2026-03-17T20:32:32.374119
"108 School Lane, Strathfoyle",£160000,Apartment,3,3,McDermott Property,2026-02-13,For Sale,https://www.propertypal.com/property/902221/detail,Strathfoyle,2026-03-17T20:32:32.374127
"4 Hill Street, Waterside",£420000,Terraced,2,3,Smyth Properties,2026-03-05,For Sale,https://www.propertypal.com/property/442235/detail,Waterside,2026-03-17T20:32:32.374135
"42 King Street, Newbuildings",£311000,Apartment,1,3,Reid & Associates,2026-02-01,For Sale,https://www.propertypal.com/property/623027/detail,Newbuildings,2026-03-17T20:32:32.374143
"47 Hill Street, Drumahoe",£287000,Apartment,4,2,Neill Estate Agents,2026-01-01,For Sale,https://www.propertypal.com/property/933190/detail,Drumahoe,2026-03-17T20:32:32.374153
"78 Church Road, Eglinton",£140000,Semi-detached,2,3,Anderson Properties,2026-03-01,For Sale,https://www.propertypal.com/property/452228/detail,Eglinton,2026-03-17T20:32:32.374161
"72 Park Avenue, Waterside",£424000,Terraced,4,3,Anderson Properties,2026-01-09,For Sale,https://www.propertypal.com/property/819996/detail,Waterside,2026-03-17T20:32:32.374169
"42 Meadow Park, Strathfoyle",£185000,Detached,1,1,McGilloway Properties,2025-12-25,For Sale,https://www.propertypal.com/property/996402/detail,Strathfoyle,2026-03-17T20:32:32.374177
"116 Victoria Street, Derry City",POA,Detached,2,3,McDermott Property,2026-02-08,For Sale,https://www.propertypal.com/property/973012/detail,Derry City,2026-03-17T20:32:32.374184
"42 Bridge Street, Waterside",£409000,Semi-detached,3,3,Hunter Campbell,2026-02-19,Sale Agreed,https://www.propertypal.com/property/312873/detail,Waterside,2026-03-17T20:32:32.374191
"96 High Street, Cityside",£341000,Townhouse,4,3,Propertylink,2026-01-27,For Sale,https://www.propertypal.com/property/294065/detail,Cityside,2026-03-17T20:32:32.374199
"41 River View, Derry City",£278000,Townhouse,2,2,Hunter Campbell,2026-01-25,Sale Agreed,https://www.propertypal.com/property/898597/detail,Derry City,2026-03-17T20:32:32.374209
"94 Queen Street, Eglinton",£192000,Semi-detached,2,1,Anderson Properties,2026-02-11,Under Offer,https://www.propertypal.com/property/383646/detail,Eglinton,2026-03-17T20:32:32.374217
"47 River View, Cityside",£95000,Terraced,2,3,Anderson Properties,2026-03-07,For Sale,https://www.propertypal.com/property/446800/detail,Cityside,2026-03-17T20:32:32.374227
"91 Sycamore Close, Derry City",£136000,Semi-detached,4,1,Propertylink,2026-03-04,For Sale,https://www.propertypal.com/property/120470/detail,Derry City,2026-03-17T20:32:32.374235
"102 Park Avenue, Derry City",£101000,Townhouse,5,3,Neill Estate Agents,2026-03-08,For Sale,https://www.propertypal.com/property/359248/detail,Derry City,2026-03-17T20:32:32.374243
"35 King Street, Derry City",£122000,Townhouse,4,3,O'Sullivan Estate Agents,2026-03-02,For Sale,https://www.propertypal.com/property/630694/detail,Derry City,2026-03-17T20:32:32.374251
"62 Church Road, Derry City",£254000,Apartment,3,1,McDermott Property,2026-02-28,For Sale,https://www.propertypal.com/property/687748/detail,Derry City,2026-03-17T20:32:32.374259
"85 Abbey Court, Culmore",£193000,Detached,4,1,Donnelly & Associates,2025-12-18,Under Offer,https://www.propertypal.com/property/173136/detail,Culmore,2026-03-17T20:32:32.374267
"119 Elmwood Avenue, Culmore",£174000,Detached,4,3,Propertylink,2026-01-10,Sale Agreed,https://www.propertypal.com/property/655360/detail,Culmore,2026-03-17T20:32:32.374275
"6 High Street, Drumahoe",£345000,Detached,4,1,McGilloway Properties,2026-01-18,For Sale,https://www.propertypal.com/property/796650/detail,Drumahoe,2026-03-17T20:32:32.374283
"28 Church Road, Newbuildings",£290000,Townhouse,1,2,O'Sullivan Estate Agents,2026-01-30,For Sale,https://www.propertypal.com/property/128699/detail,Newbuildings,2026-03-17T20:32:32.374291
"4 Queen Street, Culmore",£312000,Detached,2,2,Smyth Properties,2026-01-17,Sale Agreed,https://www.propertypal.com/property/415203/detail,Culmore,2026-03-17T20:32:32.374299
"24 Castle Gardens, Waterside",£403000,Townhouse,3,1,O'Sullivan Estate Agents,2026-01-24,Sale Agreed,https://www.propertypal.com/property/469721/detail,Waterside,2026-03-17T20:32:32.374306
"93 Main Street, Strathfoyle",£166000,Terraced,2,1,Braidwood Properties,2025-12-26,For Sale,https://www.propertypal.com/property/896656/detail,Strathfoyle,2026-03-17T20:32:32.374315
"60 Oakwood Drive, Derry City",£323000,Townhouse,3,1,Caldwell Properties,2026-01-14,Sale Agreed,https://www.propertypal.com/property/762125/detail,Derry City,2026-03-17T20:32:32.374323
"16 Mill Road, Derry City",£426000,Terraced,4,1,Quinn Estates,2026-01-25,For Sale,https://www.propertypal.com/property/611765/detail,Derry City,2026-03-17T20:32:32.374330
"38 Main Street, Derry City",£435000,Apartment,4,3,Donnelly & Associates,2026-01-07,Sale Agreed,https://www.propertypal.com/property/977495/detail,Derry City,2026-03-17T20:32:32.374338
"78 Garden Close, Cityside",£109000,Terraced,5,2,Anderson Properties,2026-02-19,For Sale,https://www.propertypal.com/property/220963/detail,Cityside,2026-03-17T20:32:32.374346
"95 Queen Street, Cityside",£232000,Semi-detached,1,3,Hunter Campbell,2026-02-12,For Sale,https://www.propertypal.com/property/390233/detail,Cityside,2026-03-17T20:32:32.374354
"118 Queen Street, Newbuildings",£286000,Terraced,3,3,Bamford Properties,2026-01-30,For Sale,https://www.propertypal.com/property/587565/detail,Newbuildings,2026-03-17T20:32:32.374362
"113 King Street, Derry City",£258000,Detached,5,3,Hunter Campbell,2025-12-26,For Sale,https://www.propertypal.com/property/637926/detail,Derry City,2026-03-17T20:32:32.374369
"46 Bridge Street, Waterside",£330000,Townhouse,3,3,Neill Estate Agents,2026-02-06,For Sale,https://www.propertypal.com/property/490274/detail,Waterside,2026-03-17T20:32:32.374377
"107 Meadow Park, Newbuildings",£422000,Semi-detached,2,2,Pinewood Properties,2025-12-22,For Sale,https://www.propertypal.com/property/497715/detail,Newbuildings,2026-03-17T20:32:32.374384
"10 Station Road, Waterside",£153000,Apartment,5,1,McGilloway Properties,2026-01-19,For Sale,https://www.propertypal.com/property/145979/detail,Waterside,2026-03-17T20:32:32.374392
"76 Mill Road, Waterside",£285000,Semi-detached,5,1,Neill Estate Agents,2026-03-15,For Sale,https://www.propertypal.com/property/254532/detail,Waterside,2026-03-17T20:32:32.374399
"82 Meadow Park, Derry City",POA,Detached,5,1,Martin & Co Derry,2026-01-01,For Sale,https://www.propertypal.com/property/891871/detail,Derry City,2026-03-17T20:32:32.374407
"77 School Lane, Eglinton",£384000,Terraced,5,1,Neill Estate Agents,2025-12-19,For Sale,https://www.propertypal.com/property/611522/detail,Eglinton,2026-03-17T20:32:32.374415
"2 River View, Derry City",£328000,Detached,1,2,Quinn Estates,2025-12-20,For Sale,https://www.propertypal.com/property/572160/detail,Derry City,2026-03-17T20:32:32.374422
"38 Meadow Park, Waterside",£210000,Detached,5,1,Smyth Properties,2026-03-12,Sale Agreed,https://www.propertypal.com/property/567906/detail,Waterside,2026-03-17T20:32:32.374431
"17 Sycamore Close, Strathfoyle",£296000,Detached,4,3,Caldwell Properties,2026-02-02,For Sale,https://www.propertypal.com/property/905347/detail,Strathfoyle,2026-03-17T20:32:32.374439
"88 Elmwood Avenue, Strathfoyle",£118000,Apartment,5,1,Propertylink,2026-01-23,Under Offer,https://www.propertypal.com/property/895075/detail,Strathfoyle,2026-03-17T20:32:32.374447
"13 Castle Gardens, Eglinton",POA,Townhouse,4,1,Reid & Associates,2026-01-19,For Sale,https://www.propertypal.com/property/538812/detail,Eglinton,2026-03-17T20:32:32.374454
"104 Main Street, Newbuildings",£342000,Townhouse,3,2,Homes Independent,2026-01-06,Sale Agreed,https://www.propertypal.com/property/601214/detail,Newbuildings,2026-03-17T20:32:32.374462
"52 High Street, Waterside",£221000,Detached,2,3,Pinewood Properties,2026-01-15,Sale Agreed,https://www.propertypal.com/property/481047/detail,Waterside,2026-03-17T20:32:32.374472
"47 Elmwood Avenue, Newbuildings",£196000,Terraced,2,1,McDermott Property,2025-12-30,For Sale,https://www.propertypal.com/property/916927/detail,Newbuildings,2026-03-17T20:32:32.374480
"65 Park Avenue, Cityside",£94000,Semi-detached,4,2,Pinewood Properties,2026-01-14,For Sale,https://www.propertypal.com/property/697051/detail,Cityside,2026-03-17T20:32:32.374490
"55 School Lane, Culmore",£255000,Apartment,5,1,Homes Independent,2026-03-08,For Sale,https://www.propertypal.com/property/903352/detail,Culmore,2026-03-17T20:32:32.374498
"48 Bridge Street, Drumahoe",£390000,Semi-detached,4,1,McDermott Property,2026-03-12,For Sale,https://www.propertypal.com/property/853208/detail,Drumahoe,2026-03-17T20:32:32.374506
"53 Main Street, Cityside",£336000,Semi-detached,5,2,Pinewood Properties,2025-12-17,For Sale,https://www.propertypal.com/property/840951/detail,Cityside,2026-03-17T20:32:32.374514
"55 Oakwood Drive, Derry City",£219000,Semi-detached,5,3,McDermott Property,2026-01-25,Sale Agreed,https://www.propertypal.com/property/540536/detail,Derry City,2026-03-17T20:32:32.374522
"90 Main Street, Waterside",£226000,Apartment,4,2,Propertylink,2026-01-12,For Sale,https://www.propertypal.com/property/984498/detail,Waterside,2026-03-17T20:32:32.374530
"16 Station Road, Waterside",£159000,Terraced,4,3,Homes Independent,2025-12-24,Sale Agreed,https://www.propertypal.com/property/787363/detail,Waterside,2026-03-17T20:32:32.374537
"45 River View, Newbuildings",£392000,Semi-detached,4,3,Pinewood Properties,2026-01-29,Sale Agreed,https://www.propertypal.com/property/382184/detail,Newbuildings,2026-03-17T20:32:32.374546
"1 Main Street, Culmore",£422000,Semi-detached,5,1,Smyth Properties,2026-01-30,For Sale,https://www.propertypal.com/property/211378/detail,Culmore,2026-03-17T20:32:32.374553
"48 Main Street, Cityside",£162000,Detached,2,3,McDermott Property,2026-02-20,For Sale,https://www.propertypal.com/property/736585/detail,Cityside,2026-03-17T20:32:32.374560
"76 Victoria Street, Cityside",POA,Semi-detached,5,3,Neill Estate Agents,2026-01-30,For Sale,https://www.propertypal.com/property/313515/detail,Cityside,2026-03-17T20:32:32.374568
